"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"107","Los Angeles - Chinatown",36,449,453,1,12,10,681,8490,7982,8021
"108","Los Angeles - Cloverdale/Cochran",122,838,802,5,34,37,1381,9489,9109,14553
"109","Los Angeles - Country Club Park",142,937,817,20,132,100,1491,9840,9312,15153
"110","Los Angeles - Crenshaw District",113,817,817,2,14,9,1701,12300,12004,13829
"111","Los Angeles - Crestview",116,1020,976,17,150,136,1471,12940,12908,11368
"112","Los Angeles - Del Rey",115,384,368,6,20,16,2966,9908,9543,29936
"113","Los Angeles - Downtown",261,949,943,7,25,16,4756,17290,15805,27507
"114","Los Angeles - Eagle Rock",305,770,728,16,40,28,4938,12473,12170,39589
"115","Los Angeles - East Hollywood",310,1058,977,40,137,118,2934,10018,9202,29287
"116","Los Angeles - Echo Park",82,575,558,1,7,9,1921,13475,12421,14256
"117","Los Angeles - El Sereno",403,964,941,21,50,46,4513,10795,10608,41808
"118","Los Angeles - Elysian Park",23,403,363,0,0,0,584,10224,9136,5712
"119","Los Angeles - Elysian Valley",108,1062,1024,0,0,0,1061,10432,10019,10171
"120","Los Angeles - Encino",192,425,394,14,31,15,5210,11534,11370,45172
"121","Los Angeles - Exposition",20,601,594,0,0,0,339,10192,9949,3326
"122","Los Angeles - Exposition Park",444,988,1014,12,27,33,3741,8329,8479,44917
"123","Los Angeles - Faircrest Heights",10,278,233,1,28,23,372,10333,9979,3600
"124","Los Angeles - Figueroa Park Square",92,1055,1066,0,0,0,866,9930,10003,8721
"125","Los Angeles - Florence-Firestone",850,1792,1839,15,32,44,4639,9778,10001,47445
"126","Los Angeles - Glassell Park",286,905,861,8,25,21,3151,9970,9769,31604
"127","Los Angeles - Gramercy Place",101,938,966,2,19,12,1139,10582,10321,10764
"128","Los Angeles - Granada Hills",513,882,772,51,88,64,6254,10747,10168,58191
"129","Los Angeles - Green Meadows",325,1511,1531,4,19,25,2123,9872,10032,21505
"130","Los Angeles - Hancock Park",120,704,683,2,12,12,1933,11345,11633,17039
"131","Los Angeles - Harbor City",183,630,609,7,24,18,1979,6808,6640,29070
"132","Los Angeles - Harbor Gateway",277,635,625,7,16,17,3142,7206,7106,43600
"133","Los Angeles - Harbor Pines",9,374,398,0,0,0,172,7140,6931,2409
"134","Los Angeles - Harvard Heights",209,1159,1151,16,89,105,1588,8805,8633,18035
"135","Los Angeles - Harvard Park",558,1471,1471,8,21,21,3991,10521,10498,37935
"136","Los Angeles - Highland Park",443,915,894,6,12,13,4883,10091,9806,48391
"137","Los Angeles - Historic Filipinotown",207,1492,1379,8,58,49,1706,12300,11469,13870
"138","Los Angeles - Hollywood",428,627,560,6,9,9,7182,10522,9009,68254
